Año,Ganador AO,Nacionalidad AO,Ganador RG,Nacionalidad RG,Ganador WB,Nacionalidad WB,Ganador USO,Nacionalidad USO
1960,Rod Laver (1/11),Australia,Nicola Pietrangeli (2/2),Italia,Neale Fraser (2/3),Australia,Neale Fraser (3/3),Australia
1961,Roy Emerson (1/12),Australia,Manuel Santana (1/4),España,Rod Laver (2/11),Australia,Roy Emerson (2/12),Australia
1962,Rod Laver (3/11),Australia,Rod Laver (4/11),Australia,Rod Laver (5/11),Australia,Rod Laver (6/11),Australia
1963,Roy Emerson (3/12),Australia,Roy Emerson (4/12),Australia,Chuck McKinley (1/1),Estados Unidos,Rafael Osuna (1/1),México
1964,Roy Emerson (5/12),Australia,Manuel Santana (2/4),España,Roy Emerson (6/12),Australia,Roy Emerson (7/12),Australia
1965,Roy Emerson (8/12),Australia,Fred Stolle (1/2),Australia,Roy Emerson (9/12),Australia,Manuel Santana (3/4),España
1966,Roy Emerson (10/12),Australia,Tony Roche (1/1),Australia,Manuel Santana (4/4),España,Fred Stolle (2/2),Australia
1967,Roy Emerson (11/12),Australia,Roy Emerson (12/12),Australia,John Newcombe (1/7),Australia,John Newcombe (2/7),Australia
1968,William Bowrey (1/1),Australia,,,,,,
1968,,,Ken Rosewall (5/8),Australia,Rod Laver (7/11),Australia,Arthur Ashe (1/3),Estados Unidos
1969,Rod Laver (8/11),Australia,Rod Laver (9/11),Australia,Rod Laver (10/11),Australia,Rod Laver (11/11),Australia
1970,Arthur Ashe (2/3),Estados Unidos,Jan Kodes (1/3),Checoslovaquia,Newcombe (3/7),Australia,Ken Rosewall (6/8),Australia
1971,Ken Rosewall (7/8),Australia,Jan Kodes (2/3),Checoslovaquia,John Newcombe (4/7),Australia,Stan Smith (1/2),Estados Unidos
1972,Ken Rosewall (8/8),Australia,Andrés Gimeno (1/1),España,Stan Smith (2/2),Estados Unidos,Ilie Nastase (1/2),Rumania
1973,John Newcombe (5/7),Australia,Illie Nastase (2/2),Rumania,Jan Kodes (3/3),Checoslovaquia,John Newcombe (6/7),Australia
1974,Jimmy Connors (1/8),Estados Unidos,Björn Borg (1/11),Suecia,Jimmy Connors (2/8),Estados Unidos,Jimmy Connors (3/8),Estados Unidos
1975,John Newcombe (7/7),Australia,Björn Borg (2/11),Suecia,Arthur Ashe (3/3),Estados Unidos,Manuel Orantes (1/1),España
1976,Mark Edmondson (1/1),Australia,Adriano Panatta (1/1),Italia,Björn Borg (3/11),Suecia,Jimmy Connors (4/8),Estados Unidos
1977,Roscoe Tanner (1/1) Ene,Estados Unidos,Guillermo Vilas (1/4),Argentina,Björn Borg (4/11),Suecia,Guillermo Vilas (2/4),Argentina
1978,Guillermo Vilas (3/4) ††,Argentina,Björn Borg (5/11),Suecia,Björn Borg (6/11),Suecia,Jimmy Connors (5/8),Estados Unidos
1979,Guillermo Vilas (4/4) ††,Argentina,Björn Borg (7/11),Suecia,Björn Borg (8/11),Suecia,John McEnroe (1/7),Estados Unidos
1980,Brian Teacher (1/1) ††,Estados Unidos,Björn Borg (9/11),Suecia,Björn Borg (10/11),Suecia,John McEnroe (2/7),Estados Unidos
1981,Johan Kriek (1/2) ††,Sudáfrica,Björn Borg (11/11),Suecia,John McEnroe (3/7),Estados Unidos,John McEnroe (4/7),Estados Unidos
1982,Johan Kriek (2/2) ††,Estados Unidos,Mats Wilander (1/7),Suecia,Jimmy Connors (6/8),Estados Unidos,Jimmy Connors (7/8),Estados Unidos
1983,Mats Wilander (2/7) ††,Suecia,Yannick Noah (1/1),Francia,John McEnroe (5/7),Estados Unidos,Jimmy Connors (8/8),Estados Unidos
1984,Mats Wilander (3/7) ††,Suecia,Ivan Lendl (1/8),Checoslovaquia,John McEnroe (6/7),Estados Unidos,John McEnroe (7/7),Estados Unidos
1985,Stefan Edberg (1/6) ††,Suecia,Mats Wilander (4/7),Suecia,Boris Becker (1/6),Alemania,Ivan Lendl (2/8),Checoslovaquia
1986,no hubo competición,no hubo competición,Ivan Lendl (3/8),Checoslovaquia,Boris Becker (2/6),Alemania,Ivan Lendl (4/8),Checoslovaquia
1987,Stefan Edberg (2/6),Suecia,Ivan Lendl (5/8),Checoslovaquia,Pat Cash (1/1),Australia,Ivan Lendl (6/8),Checoslovaquia
1988,Mats Wilander (5/7),Suecia,Mats Wilander (6/7),Suecia,Stefan Edberg (3/6),Suecia,Mats Wilander (7/7),Suecia
1989,Ivan Lendl (7/8),Checoslovaquia,Michael Chang (1/1),Estados Unidos,Boris Becker (3/6),Alemania,Boris Becker (4/6),Alemania
1990,Ivan Lendl (8/8),Checoslovaquia,Andrés Gómez (1/1),Ecuador,Stefan Edberg (4/6),Suecia,Pete Sampras (1/14),Estados Unidos
1991,Boris Becker (5/6),Alemania,Jim Courier (1/4),Estados Unidos,Michael Stich (1/1),Alemania,Stefan Edberg (5/6),Suecia
1992,Jim Courier (2/4),Estados Unidos,Jim Courier (3/4),Estados Unidos,Andre Agassi (1/8),Estados Unidos,Stefan Edberg (6/6),Suecia
